,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8
I-1,Creep,Creep,Creep,Creep,Creep,Creep,Creep,Creep
I-2,,,,,,,,
I-3,,,,,,,,
I-4,,,,,,,,
II-1,,,,,,,,
II-2,,,,,,,,
II-3,Creep,Creep,Creep,Creep,Creep,Creep,Creep,Creep
II-4,,,,,,,,
II-5,,,,,,,,
II-6,,,,,,,,
III-1,,,,,,,,
III-2,,,,,,,,
III-3,Creep,Creep,Creep,Creep,Creep,Creep,Creep,Creep
III-4,,,,,,,,
III-5,,,,,,,,
III-6,,,,,,,,
IV-1,,,,,,,,
IV-2,,,,,,,,
IV-3,Creep,Creep,Creep,Creep,Creep,Creep,Creep,Creep
IV-4,,,,,,,,
IV-5,,,,,,,,
IV-6,,,,,,,,
V-1,,,,,,,,
V-2,,,,,,,,
